date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,score1,score2,result
2021-10-21,2021,0,,CLE,DEN,1528.96064655906,1438.38935591811,0.710032179006282,0.289967820993718,1546.69785780377,1455.93364710188,121.111472549791,157.215226749051,0.649007513588153,0.350992486411847,152.954921174725,107.860361159698,17,14,win
2021-10-24,2021,0,,NYG,CAR,1378.96941981981,1456.78191044474,0.481569697722689,0.518430302277311,1392.92690614393,1462.88675984798,133.653521117111,109.619411767124,0.500697263490468,0.499302736509532,164.772707003908,-103.188404201763,25,3,win
2021-10-24,2021,0,,GB,WSH,1651.7211186339,1418.70142565885,0.847553371681738,0.152446628318262,1609.08916233733,1456.01627331305,231.729725500991,84.4531012566064,0.836709488105905,0.163290511894095,273.862021080352,250.653746909757,24,10,win
2021-10-24,2021,0,,MIA,ATL,1431.18257502075,1439.98444665858,0.580177583605748,0.419822416394252,1427.49858992807,1422.11115049224,127.241337348135,197.071986488074,0.519234843379056,0.480765156620944,300.800808316951,192.309737291877,28,30,loss
2021-10-24,2021,0,,TEN,KC,1556.8596852181,1615.57383882094,0.509045073261067,0.490954926738933,1543.36004091369,1606.37597668724,168.289595301285,262.071440239259,0.454272272172781,0.545727727827219,209.229159142281,-0.0248799984061122,27,3,win
2021-10-24,2021,0,,NE,NYJ,1475.40375514338,1337.30383525629,0.762989010661461,0.237010989338539,1483.89383505187,1352.36429761598,116.678216592302,53.1328194207749,0.741179169557724,0.258820830442276,269.209969025277,34.0699768746289,54,13,win
2021-10-24,2021,0,,BAL,CIN,1652.09969390738,1482.71899160121,0.793999425167075,0.206000574832925,1645.9582474756,1484.66418683838,226.389427163676,159.218992533193,0.780961821000509,0.219038178999491,163.199494500402,313.254999335554,17,41,loss
2021-10-24,2021,0,,LAR,DET,1630.21891485697,1313.79333942092,0.899859290045784,0.100140709954216,1623.92143218179,1297.15929754833,207.255872499401,149.023152835443,0.917350486287665,0.0826495137123346,283.483024033226,93.7940463409036,28,19,win
2021-10-24,2021,0,,OAK,PHI,1511.78346332166,1423.89403067068,0.706843424120965,0.293156575879035,1496.99664096795,1431.41007858866,184.530633965193,162.788567353174,0.663047409917083,0.336952590082917,340.280034049982,194.878802387811,33,22,win
2021-10-24,2021,0,,ARI,HOU,1639.29164992346,1368.46573267695,0.873599807196198,0.126400192803802,1634.51827718106,1354.99679281234,237.98573562769,68.7204587593131,0.937922149461798,0.0620778505382017,126.511125836462,70.587710641003,31,5,win
2021-10-24,2021,0,,TB,CHI,1674.20359147564,1493.35905600816,0.804584023948408,0.195415976051592,1654.60902534419,1482.5185348929,264.141049800011,58.6747151573524,0.847769268843109,0.152230731156891,265.728631628621,-71.0170993170708,38,3,win
